Domain,Area,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value
Producer Prices,Bulgaria,Producer Price (USD/tonne),1705,"Peas, dry",2018,2018,7021,Annual value,USD,0.23
Producer Prices,Bulgaria,Producer Price (USD/tonne),1705,"Peas, dry",2019,2019,7021,Annual value,USD,0.19
Producer Prices,Bulgaria,Producer Price (USD/tonne),1705,"Peas, dry",2020,2020,7021,Annual value,USD,0.21
Producer Prices,Bulgaria,Producer Price (USD/tonne),1705,"Peas, dry",2021,2021,7021,Annual value,USD,0.28
Producer Prices,Bulgaria,Producer Price (USD/tonne),1705,"Peas, dry",2022,2022,7021,Annual value,USD,0.35
Producer Prices,Bulgaria,Producer Price (USD/tonne),1705,"Peas, dry",2023,2023,7021,Annual value,USD,0.34
Producer Prices,Bulgaria,Producer Price (USD/tonne),1242,"Peas, green",2018,2018,7021,Annual value,USD,0.31
Producer Prices,Bulgaria,Producer Price (USD/tonne),1242,"Peas, green",2019,2019,7021,Annual value,USD,0.28
Producer Prices,Bulgaria,Producer Price (USD/tonne),1242,"Peas, green",2020,2020,7021,Annual value,USD,0.29
Producer Prices,Bulgaria,Producer Price (USD/tonne),1242,"Peas, green",2021,2021,7021,Annual value,USD,0.34
Producer Prices,Bulgaria,Producer Price (USD/tonne),1242,"Peas, green",2022,2022,7021,Annual value,USD,0.43
Producer Prices,Bulgaria,Producer Price (USD/tonne),1242,"Peas, green",2023,2023,7021,Annual value,USD,0.37
Producer Prices,Bulgaria,Producer Price (USD/tonne),1930.01,"Peppermint, spearmint",2018,2018,7021,Annual value,USD,2.89
Producer Prices,Bulgaria,Producer Price (USD/tonne),1930.01,"Peppermint, spearmint",2019,2019,7021,Annual value,USD,2.74
Producer Prices,Bulgaria,Producer Price (USD/tonne),1930.01,"Peppermint, spearmint",2020,2020,7021,Annual value,USD,3.26
Producer Prices,Bulgaria,Producer Price (USD/tonne),1930.01,"Peppermint, spearmint",2021,2021,7021,Annual value,USD,2.87
Producer Prices,Bulgaria,Producer Price (USD/tonne),1930.01,"Peppermint, spearmint",2022,2022,7021,Annual value,USD,4.33
Producer Prices,Bulgaria,Producer Price (USD/tonne),1930.01,"Peppermint, spearmint",2023,2023,7021,Annual value,USD,7.25
Producer Prices,Bulgaria,Producer Price (USD/tonne),1346,Plums and sloes,2018,2018,7021,Annual value,USD,0.26
